DATE,DGS10
2004-12-01,4.2309090909090909
2005-01-01,4.2215000000000000
2005-02-01,4.1652631578947368
2005-03-01,4.4977272727272727
2005-04-01,4.3409523809523810
2005-05-01,4.1442857142857143
2005-06-01,3.9981818181818182
2005-07-01,4.1775000000000000
2005-08-01,4.2626086956521739
2005-09-01,4.1990476190476190
2005-10-01,4.4635000000000000
2005-11-01,4.5350000000000000
2005-12-01,4.4671428571428571
2006-01-01,4.4160000000000000
2006-02-01,4.5689473684210526
2006-03-01,4.7239130434782609
2006-04-01,4.9905263157894737
2006-05-01,5.1100000000000000
2006-06-01,5.1063636363636364
2006-07-01,5.0875000000000000
2006-08-01,4.8765217391304348
2006-09-01,4.7190000000000000
2006-10-01,4.7290476190476190
2006-11-01,4.5952380952380952
2006-12-01,4.5645000000000000
2007-01-01,4.7595238095238095
2007-02-01,4.7226315789473684
2007-03-01,4.5645454545454545
2007-04-01,4.6938095238095238
2007-05-01,4.7463636363636364
2007-06-01,5.1028571428571429
2007-07-01,5.0042857142857143
2007-08-01,4.6747826086956522
2007-09-01,4.5215789473684211
2007-10-01,4.5277272727272727
2007-11-01,4.1485000000000000
2007-12-01,4.0975000000000000
2008-01-01,3.7442857142857143
2008-02-01,3.7375000000000000
2008-03-01,3.5100000000000000
2008-04-01,3.6750000000000000
2008-05-01,3.8800000000000000
2008-06-01,4.0995238095238095
2008-07-01,4.0077272727272727
2008-08-01,3.8857142857142857
2008-09-01,3.6861904761904762
2008-10-01,3.8140909090909091
2008-11-01,3.5266666666666667
2008-12-01,2.4163636363636364
2009-01-01,2.5175000000000000
2009-02-01,2.8700000000000000
2009-03-01,2.8195454545454545
2009-04-01,2.9271428571428571
2009-05-01,3.2930000000000000
2009-06-01,3.7218181818181818
2009-07-01,3.5622727272727273
2009-08-01,3.5871428571428571
2009-09-01,3.4019047619047619
2009-10-01,3.3876190476190476
2009-11-01,3.4026315789473684
2009-12-01,3.5900000000000000
2010-01-01,3.7331578947368421
2010-02-01,3.6910526315789474
2010-03-01,3.7273913043478261
2010-04-01,3.8468181818181818
2010-05-01,3.4200000000000000
2010-06-01,3.2040909090909091
2010-07-01,3.0114285714285714
2010-08-01,2.6986363636363636
2010-09-01,2.6476190476190476
2010-10-01,2.5400000000000000
2010-11-01,2.7630000000000000
2010-12-01,3.2909090909090909
